wiki	topic	open	available	closed	total
maiwiki	Africa	0	0	0	0.0
maiwiki	Americas	0	0	0	0.0
maiwiki	Article improvement and grading	0	0	0	0.0
maiwiki	Arts	0	0	0	0.0
maiwiki	Biology	0.466666666667	0.2	0.333333333333	15.0
maiwiki	Bodies of water	0.0	0.0	1.0	1.0
maiwiki	Broadcasting	0	0	0	0.0
maiwiki	Business and economics	0	0	0	0.0
maiwiki	Chemistry	0	0	0	0.0
maiwiki	Cities	0	0	0	0.0
maiwiki	Contents systems	0	0	0	0.0
maiwiki	Countries	0.2	0.0	0.8	10.0
maiwiki	Crafts and hobbies	0	0	0	0.0
maiwiki	Economics	0	0	0	0.0
maiwiki	Education	0	0	0	0.0
maiwiki	Entertainment	0.0	0.0	1.0	1.0
maiwiki	Europe	0.0	0.0	1.0	3.0
maiwiki	Files	0	0	0	0.0
maiwiki	Food and drink	0	0	0	0.0
maiwiki	Geosciences	0	0	0	0.0
maiwiki	History and society	0.0	0.25	0.75	4.0
maiwiki	Information science	0	0	0	0.0
maiwiki	Internet culture	1.0	0.0	0.0	1.0
maiwiki	Landforms	0	0	0	0.0
maiwiki	Language and literature	0.25	0.0	0.75	4.0
maiwiki	Maintenance	0	0	0	0.0
maiwiki	Maps	0	0	0	0.0
maiwiki	Mathematics	0	0	0	0.0
maiwiki	Media	0	0	0	0.0
maiwiki	Medicine	0	0	0	0.0
maiwiki	Meteorology	0	0	0	0.0
maiwiki	Military and warfare	0	0	0	0.0
maiwiki	Music	0	0	0	0.0
maiwiki	Performing arts	0	0	0	0.0
maiwiki	Philosophy and religion	1.0	0.0	0.0	1.0
maiwiki	Physics	0	0	0	0.0
maiwiki	Plastic arts	0	0	0	0.0
maiwiki	Politics and government	0.0	0.0	1.0	5.0
maiwiki	Science	0	0	0	0.0
maiwiki	Space	0	0	0	0.0
maiwiki	Sports	0	0	0	0.0
maiwiki	Technology	0	0	0	0.0
maiwiki	Time	0.0	1.0	0.0	1.0
